GrLivArea,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,LotPercent,SalePrice
1322,50,52.0,6240,5,8,1939,1952,0.0,48.0,0.0,624.0,672.0,899,423,0,1.0,0.0,1,0,4,1,7,0,1939.0,1.0,280.0,0,0,0,0,0,0,0,7,2007,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,Gd,BrkTil,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,MnPrv,None,WD ,Normal,0.1440705128205128,132000
1391,120,59.0,4282,7,5,2004,2004,0.0,16.0,0.0,1375.0,1391.0,1391,0,0,0.0,0.0,2,0,2,1,5,0,2004.0,2.0,530.0,156,158,0,0,0,0,0,7,2008,FV,Pave,Pave,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.32484820177487156,196000
1306,20,64.0,8712,5,7,1957,2000,0.0,860.0,0.0,132.0,992.0,1306,0,0,1.0,0.0,1,0,2,1,5,0,1968.0,1.0,756.0,0,0,0,0,0,0,0,5,2009,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,BLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.14990817263544537,153000
1660,60,68.0,8935,7,5,2002,2002,95.0,0.0,0.0,831.0,831.0,831,829,0,0.0,0.0,2,1,3,1,7,0,2002.0,2.0,493.0,144,68,0,0,0,0,0,7,2009,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.09300503637381086,195000
1689,20,98.85803119858775,13265,8,5,2002,2002,148.0,1218.0,0.0,350.0,1568.0,1689,0,0,1.0,0.0,2,0,3,1,7,2,2002.0,3.0,857.0,150,59,0,0,0,0,0,7,2008,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.12732755371277799,271000
904,45,50.0,6000,6,7,1926,2004,0.0,0.0,0.0,884.0,884.0,904,0,0,0.0,0.0,1,0,2,1,4,0,1926.0,1.0,180.0,0,0,105,0,0,0,0,1,2009,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,TA,PConc,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.15066666666666667,119000
1118,190,65.0,7800,5,7,1939,1950,0.0,507.0,0.0,286.0,793.0,793,325,0,1.0,0.0,1,0,3,1,5,1,1939.0,2.0,410.0,0,0,0,0,271,0,0,5,2006,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,2fmCon,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Mn,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,None,MnPrv,None,WD ,Normal,0.10166666666666667,119900
1584,90,65.0,8944,5,5,1967,1967,0.0,0.0,0.0,1584.0,1584.0,1584,0,0,0.0,0.0,2,0,4,2,8,0,1967.0,3.0,792.0,0,152,0,0,0,0,0,4,2009,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Mod,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.1771019677996422,124000
1341,20,85.0,10176,7,5,1990,1990,0.0,637.0,0.0,663.0,1300.0,1341,0,0,1.0,0.0,1,1,2,1,5,1,1990.0,2.0,506.0,192,0,0,0,0,0,0,2,2010,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Po,Attchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.1317806603773585,171500
1389,60,60.0,3378,7,8,1946,1992,0.0,0.0,0.0,651.0,651.0,707,682,0,0.0,0.0,1,1,3,1,6,2,1947.0,1.0,240.0,0,0,126,0,0,0,0,9,2009,RM,Pave,Grvl,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Detchd,Unf,TA,TA,P,None,None,None,WD ,Normal,0.209295441089402,135000
1480,50,60.0,5400,6,6,1920,1950,0.0,0.0,0.0,972.0,972.0,1044,0,436,0.0,0.0,1,0,3,1,6,0,1920.0,1.0,207.0,0,0,176,0,0,0,0,9,2009,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,Fa,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,Fa,TA,Y,None,None,None,ConLI,Family,0.19333333333333333,119000
1389,20,77.0,10010,5,5,1974,1975,0.0,1071.0,123.0,195.0,1389.0,1389,0,0,1.0,0.0,1,0,2,1,6,1,1975.0,2.0,418.0,240,38,0,0,0,0,0,4,2006,RL,Pave,None,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.13876123876123875,170000
819,30,50.0,9000,5,4,1919,1950,0.0,0.0,0.0,610.0,610.0,819,0,0,0.0,0.0,1,0,2,1,4,0,1919.0,0.0,0.0,0,0,0,0,0,0,0,9,2006,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,N,FuseA,Gd,Typ,None,None,None,None,None,N,None,None,None,WD ,Abnorml,0.091,72000
1600,60,57.0,8773,6,5,1997,1997,0.0,0.0,0.0,916.0,916.0,916,684,0,0.0,0.0,2,1,3,1,7,1,1997.0,2.0,460.0,100,38,0,0,0,0,0,8,2007,RL,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,None,None,None,WD ,Normal,0.10441126182605723,169000
1080,50,44.0,5914,5,9,1890,1996,0.0,0.0,0.0,684.0,684.0,684,396,0,0.0,0.0,1,0,3,1,5,0,1890.0,0.0,0.0,0,165,30,0,0,0,0,9,2008,RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,HdBoard,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,None,None,None,None,None,N,None,None,None,WD ,Normal,0.11565776124450457,95000
1200,20,105.0,11249,6,5,1995,1995,0.0,334.0,544.0,322.0,1200.0,1200,0,0,1.0,0.0,2,0,3,1,6,0,1995.0,2.0,521.0,0,26,0,0,0,0,0,8,2007,RL,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.10667614899102143,177500
896,20,80.0,11622,5,6,1961,1961,0.0,468.0,144.0,270.0,882.0,896,0,0,0.0,0.0,1,0,2,1,5,0,1961.0,1.0,730.0,140,0,0,0,120,0,0,6,2010,RH,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,MnPrv,None,WD ,Normal,0.0770951643434865,105000
793,30,80.0,8480,5,6,1945,1950,0.0,700.0,0.0,93.0,793.0,793,0,0,1.0,0.0,1,0,2,1,4,0,1945.0,1.0,240.0,0,0,0,0,0,0,0,8,2009,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,Fa,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.09351415094339623,113000
1838,90,83.0,10126,6,5,1997,1998,0.0,1593.0,162.0,83.0,1838.0,1838,0,0,2.0,0.0,2,0,2,2,8,0,1998.0,3.0,721.0,160,67,0,0,0,0,0,7,2008,RM,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,Duplex,SFoyer,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,TA,Gd,GLQ,LwQ,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,None,None,WD ,Abnorml,0.18151293699387716,185000
1563,20,78.0,10206,8,5,2007,2007,468.0,33.0,0.0,1530.0,1563.0,1563,0,0,0.0,0.0,2,0,3,1,6,1,2007.0,3.0,758.0,144,99,0,0,0,0,0,10,2008,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.15314520870076426,245000
1888,20,137.0,16492,6,6,1966,2002,0.0,247.0,713.0,557.0,1517.0,1888,0,0,0.0,0.0,2,1,2,1,6,1,1966.0,2.0,578.0,0,0,0,0,0,0,0,6,2010,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Plywood,None,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,Ex,Y,SBrkr,Gd,Mod,Gd,Attchd,Fin,TA,TA,Y,None,None,None,WD ,Normal,0.11447974775648799,190000
1668,50,80.0,9600,6,8,1950,2005,0.0,120.0,0.0,736.0,856.0,1112,556,0,0.0,0.0,1,1,3,1,6,0,1950.0,1.0,271.0,0,0,0,0,0,0,0,9,2009,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Min2,None,Attchd,Unf,TA,TA,Y,None,MnPrv,None,WD ,Normal,0.11583333333333333,140000
2373,60,96.0,11631,8,5,2004,2005,236.0,0.0,0.0,1052.0,1052.0,1052,1321,0,0.0,0.0,2,1,4,1,9,1,2004.0,3.0,632.0,120,46,0,0,0,0,0,6,2006,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,None,None,None,New,Partial,0.0904479408477345,258000
936,120,62.0,6710,6,5,1996,1997,134.0,16.0,904.0,0.0,920.0,936,0,0,2.0,0.0,0,1,0,1,3,0,1996.0,2.0,460.0,0,40,0,0,0,0,0,6,2007,RM,Pave,None,IR1,Lvl,AllPub,FR3,Gtl,Mitchel,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Ex,TA,Av,Rec,GLQ,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,None,None,None,WD ,Normal,0.13949329359165424,140000
1329,20,91.55453548998496,12285,7,6,1960,1960,128.0,544.0,0.0,785.0,1329.0,1329,0,0,0.0,0.0,1,1,3,1,5,2,1960.0,2.0,441.0,0,0,203,0,0,0,0,8,2009,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.10818070818070818,176000
2826,60,105.0,11025,8,5,1992,1993,692.0,1118.0,0.0,216.0,1334.0,1520,1306,0,1.0,0.0,2,1,3,1,9,3,1992.0,3.0,888.0,177,208,186,0,0,0,0,10,2006,RL,Pave,None,Reg,HLS,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,ImStucc,BrkFace,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.13786848072562358,334000
1017,50,69.0,9143,5,7,1900,2003,0.0,0.0,0.0,346.0,346.0,709,308,0,0.0,0.0,1,0,2,1,5,0,1961.0,1.0,308.0,0,0,139,0,0,0,0,5,2008,RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,N,None,None,None,WD ,Normal,0.07754566334901017,114000
1719,120,32.0,10846,8,5,1993,1993,0.0,1619.0,0.0,100.0,1719.0,1719,0,0,2.0,0.0,1,1,1,1,6,2,1993.0,2.0,473.0,122,30,0,0,0,0,0,5,2008,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,Gable,CompShg,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,None,None,None,Con,Normal,0.15849160981006824,324000
2596,60,111.0,16259,9,5,2006,2006,370.0,0.0,0.0,1249.0,1249.0,1249,1347,0,0.0,0.0,3,1,4,1,9,0,2006.0,3.0,840.0,240,154,0,0,0,0,0,9,2006,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,TA,TA,PConc,Ex,Gd,Av,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,New,Partial,0.0768189925579679,342643
1120,20,85.0,6970,4,5,1961,1961,0.0,932.0,0.0,108.0,1040.0,1120,0,0,1.0,0.0,1,1,3,1,5,0,1961.0,2.0,544.0,168,0,0,0,0,0,400,5,2007,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Fa,Typ,None,Attchd,RFn,TA,TA,Y,None,None,Shed,WD ,Normal,0.1606886657101865,129000
1190,90,70.0,7728,5,6,1962,1962,120.0,803.0,0.0,303.0,1106.0,1190,0,0,1.0,0.0,1,0,3,1,6,0,1962.0,2.0,540.0,0,18,0,0,0,0,0,5,2006,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,SLvl,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,GdWo,None,WD ,Normal,0.1539855072463768,132500
1960,60,58.50994368187806,7851,6,5,2002,2002,0.0,625.0,0.0,235.0,860.0,860,1100,0,1.0,0.0,2,1,4,1,8,2,2002.0,2.0,440.0,288,48,0,0,0,0,0,5,2010,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,None,None,None,WD ,Normal,0.10954018596357153,216500
1179,120,38.0,4740,8,5,1988,1988,0.0,248.0,0.0,918.0,1166.0,1179,0,0,1.0,0.0,2,0,2,1,5,0,1988.0,2.0,480.0,0,108,0,0,135,0,0,10,2007,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.24873417721518987,182000
990,20,43.0,13568,5,5,1995,1995,0.0,716.0,0.0,274.0,990.0,990,0,0,0.0,1.0,1,0,3,1,5,0,1996.0,2.0,576.0,224,0,0,0,0,0,0,7,2006,RL,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.07296580188679246,156000
981,20,78.47531613427283,10530,6,5,1971,1971,0.0,282.0,35.0,664.0,981.0,981,0,0,1.0,0.0,1,1,3,1,5,0,1979.0,2.0,576.0,0,312,40,0,0,0,0,3,2007,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.09316239316239316,143250
935,20,100.80314587200137,13526,5,6,1965,1965,114.0,560.0,375.0,0.0,935.0,935,0,0,1.0,0.0,1,0,3,1,5,0,1965.0,1.0,288.0,180,0,0,0,0,0,0,11,2006,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,MnPrv,None,WD ,Normal,0.0691261274582286,137000
803,45,50.0,5000,5,6,1941,1950,0.0,116.0,0.0,604.0,720.0,803,0,0,0.0,0.0,1,0,2,1,5,0,1941.0,2.0,360.0,0,0,244,0,0,0,0,12,2007,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Av,BLQ,Unf,GasA,Po,N,FuseF,TA,Typ,None,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.1606,87000
1392,20,84.51933146047371,11341,5,6,1957,1996,180.0,1302.0,0.0,90.0,1392.0,1392,0,0,1.0,0.0,1,1,3,1,5,1,1957.0,2.0,528.0,0,0,0,0,95,0,0,5,2010,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Mod,Gd,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.12274049907415571,121500
630,180,21.0,1477,4,4,1970,1970,0.0,509.0,0.0,121.0,630.0,630,0,0,1.0,0.0,1,0,1,1,3,0,1970.0,1.0,286.0,0,0,0,0,0,0,0,4,2009,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.4265402843601896,80000
1640,20,100.0,21370,5,5,1950,1950,0.0,0.0,0.0,0.0,0.0,1640,0,0,0.0,0.0,1,0,3,1,7,1,1950.0,2.0,394.0,0,0,225,0,0,0,600,6,2006,RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,MetalSd,None,TA,TA,Slab,None,None,None,None,None,GasA,TA,Y,FuseA,TA,Min1,Gd,Attchd,RFn,TA,TA,Y,None,None,Shed,WD ,Normal,0.07674309780065512,131000
2048,60,59.69489859786566,8010,8,5,2003,2004,0.0,964.0,0.0,90.0,1054.0,1072,976,0,1.0,0.0,2,1,3,1,8,2,2003.0,2.0,552.0,0,48,0,0,180,0,0,8,2007,FV,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,None,None,None,WD ,Normal,0.13383270911360798,301000
1852,60,72.0,8640,7,5,2009,2009,0.0,822.0,0.0,78.0,900.0,932,920,0,1.0,0.0,2,1,3,1,7,1,2009.0,2.0,644.0,168,108,0,0,0,0,0,7,2009,FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,None,New,Partial,0.10787037037037037,252678
1995,60,90.0,11250,7,5,1995,1996,0.0,685.0,0.0,245.0,930.0,950,1045,0,1.0,0.0,2,1,4,1,8,1,1995.0,2.0,610.0,275,170,0,0,0,0,0,7,2006,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,Gd,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.08444444444444445,237000
1362,20,80.0,10197,6,5,1961,1961,491.0,288.0,374.0,700.0,1362.0,1362,0,0,1.0,0.0,1,1,3,1,6,1,1961.0,2.0,504.0,0,20,0,0,0,0,0,6,2008,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,BrkCmn,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,None,None,None,COD,Normal,0.1335686966754928,163000
1538,20,74.0,8847,8,5,2005,2005,148.0,769.0,0.0,769.0,1538.0,1538,0,0,1.0,0.0,2,0,3,1,7,0,2005.0,2.0,484.0,146,40,0,0,0,0,0,12,2007,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,None,None,None,WD ,Normal,0.17384424098564485,260000
1487,50,52.0,8741,6,4,1945,1950,0.0,94.0,0.0,641.0,735.0,798,689,0,0.0,0.0,1,1,3,1,7,1,1949.0,1.0,220.0,0,140,0,0,0,0,0,4,2010,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,Fa,No,LwQ,Unf,GasA,TA,Y,FuseA,TA,Typ,Gd,Detchd,Unf,TA,TA,Y,None,MnPrv,None,WD ,Normal,0.09129390229950807,113000
3279,60,47.0,53504,8,5,2003,2003,603.0,1416.0,0.0,234.0,1650.0,1690,1589,0,1.0,0.0,3,1,4,1,12,1,2003.0,3.0,841.0,503,36,0,0,210,0,0,6,2010,RL,Pave,None,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,Wd Shng,BrkFace,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,Ex,Mod,Gd,BuiltIn,Fin,TA,TA,Y,None,None,None,WD ,Normal,0.03158642344497608,538000
